FeatureCode,DateCode,Measurement,Units,Value,Age of Dwelling,Type Of Dwelling,Number of Bedrooms,Type Of Tenure,Household Type,Fuel Poverty
S12000011,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.2,All,All,All,All,All,Fuel Poor
S12000047,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.1,All,All,All,All,Older,Fuel Poor
S12000010,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.3,All,Houses,All,All,All,Fuel Poor
S12000041,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.6,All,All,All,All,All,Fuel Poor
S92000003,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.2,All,All,All,All,Other,Fuel Poor
S92000003,2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.8,All,All,All,All,Other,Fuel Poor
S12000014,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.9,All,All,All,All,Older,Fuel Poor
S12000047,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,41.1,All,All,All,All,Other,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.9,All,All,All,All,Older,Fuel Poor
S12000047,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,48.7,All,Flats,All,All,All,Fuel Poor
S12000036,2017-2019,Percent,Percent of households in fuel poverty,10.6,All,All,All,All,Families,Fuel Poor
S12000014,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.5,All,All,All,All,Families,Fuel Poor
S12000006,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.3,All,All,All,All,Families,Fuel Poor
S12000014,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.5,All,All,All,All,Other,Fuel Poor
S92000003,2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14,All,All,All,All,Families,Fuel Poor
S12000013,2017-2019,Percent,Percent of households in fuel poverty,34,All,All,All,All,Other,Fuel Poor
S12000027,2017-2019,Percent,Percent of households in fuel poverty,30.9,All,All,All,All,All,Fuel Poor
S12000005,2017-2019,Percent,Percent of households in fuel poverty,39.8,All,Flats,All,All,All,Fuel Poor
S12000021,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20.4,All,All,All,Owner Occupied,All,Fuel Poor
S92000003,2017-2019,Percent,Percent of households in fuel poverty,38.5,All,All,All,Social Rented,All,Fuel Poor
S12000030,2017-2019,Percent,Percent of households in fuel poverty,11.6,All,All,All,Owner Occupied,All,Fuel Poor
S12000006,2017-2019,Percent,Percent of households in fuel poverty,38.4,All,All,All,All,Older,Fuel Poor
S12000027,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,68.7,All,All,All,Social Rented,All,Fuel Poor
S12000028,2017-2019,Percent,Percent of households in fuel poverty,33,All,All,All,Social Rented,All,Fuel Poor
S12000035,2014-2016,Percent,Percent of households in fuel poverty,31.6,All,All,All,All,All,Fuel Poor
S12000017,2017-2019,Percent,Percent of households in fuel poverty,32.9,All,All,All,All,All,Fuel Poor
S12000033,2017-2019,Percent,Percent of households in fuel poverty,34.3,All,All,All,All,Older,Fuel Poor
S12000036,2017-2019,Percent,Percent of households in fuel poverty,35.1,All,All,All,Private Rented,All,Fuel Poor
S12000021,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,50.6,All,Flats,All,All,All,Fuel Poor
S12000006,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.9,All,All,All,All,Other,Fuel Poor
S12000006,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000042,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.4,All,Houses,All,All,All,Fuel Poor
S12000006,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.3,All,All,All,All,Older,Fuel Poor
S12000010,2017-2019,Percent,Percent of households in fuel poverty,36.2,All,All,All,All,Older,Fuel Poor
S12000033,2017-2019,Percent,Percent of households in fuel poverty,35.8,All,Flats,All,All,All,Fuel Poor
S12000035,2017-2019,Percent,Percent of households in fuel poverty,39.6,All,Flats,All,All,All,Fuel Poor
S12000021,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.6,All,All,All,All,All,Fuel Poor
S12000027,2017-2019,Percent,Percent of households in fuel poverty,35.9,All,All,All,All,Older,Fuel Poor
S12000049,2017-2019,Percent,Percent of households in fuel poverty,36,All,All,All,Private Rented,All,Fuel Poor
S12000041,2014-2016,Percent,Percent of households in fuel poverty,23.7,All,All,All,All,Families,Fuel Poor
S12000047,2017-2019,Percent,Percent of households in fuel poverty,24.1,All,All,All,All,All,Fuel Poor
S12000035,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,20.2,All,Houses,All,All,All,Fuel Poor
S12000033,2014-2016,Percent,Percent of households in fuel poverty,20.1,All,Houses,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,37.8,All,All,All,All,Families,Fuel Poor
S12000036,2017-2019,Percent,Percent of households in fuel poverty,11.4,All,All,All,Owner Occupied,All,Fuel Poor
S12000027,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,22.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.4,All,All,All,All,Other,Fuel Poor
S12000040,2017-2019,Percent,Percent of households in fuel poverty,33.3,All,All,All,Social Rented,All,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,64.6,All,All,All,Social Rented,All,Fuel Poor
S12000036,2017-2019,Percent,Percent of households in fuel poverty,38.4,All,All,All,Social Rented,All,Fuel Poor
S12000041,2014-2016,Percent,Percent of households in fuel poverty,49.4,All,Flats,All,All,All,Fuel Poor
S12000013,2017-2019,Percent,Percent of households in fuel poverty,39.8,All,All,All,All,All,Fuel Poor
S12000021,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,30.4,All,All,All,All,Families,Fuel Poor
S12000027,2017-2019,Percent,Percent of households in fuel poverty,33.9,All,All,All,All,Families,Fuel Poor
S12000048,2017-2019,Percent,Percent of households in fuel poverty,38.3,All,All,All,Social Rented,All,Fuel Poor
S12000027,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,32.4,All,All,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,49.7,All,Flats,All,All,All,Fuel Poor
S12000010,2017-2019,Percent,Percent of households in fuel poverty,24,All,All,All,All,All,Fuel Poor
S12000018,2017-2019,Percent,Percent of households in fuel poverty,33.3,All,Flats,All,All,All,Fuel Poor
S12000026,2017-2019,Percent,Percent of households in fuel poverty,38.3,All,All,All,All,Older,Fuel Poor
S12000027,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,29.5,All,All,All,All,Families,Fuel Poor
S92000003,2019,Percent,Percent of households in fuel poverty,35.8,All,All,All,Private Rented,All,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,21.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000017,2017-2019,Percent,Percent of households in fuel poverty,35.8,All,All,All,All,Other,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,40.8,All,All,All,All,Older,Fuel Poor
S12000042,2017-2019,Percent,Percent of households in fuel poverty,24,All,All,All,All,Families,Fuel Poor
S12000017,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,32.2,All,All,All,Social Rented,All,Fuel Poor
S12000018,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28,All,All,All,Social Rented,All,Fuel Poor
S12000038,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,23.2,All,Flats,All,All,All,Fuel Poor
S12000005,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28.9,All,All,All,Social Rented,All,Fuel Poor
S12000020,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,32.3,All,All,All,All,Older,Fuel Poor
S12000039,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,31.3,All,Flats,All,All,All,Fuel Poor
S12000047,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,34.2,All,All,All,Social Rented,All,Fuel Poor
S12000042,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28.3,All,All,All,Private Rented,All,Fuel Poor
S12000008,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15,All,All,All,Owner Occupied,All,Fuel Poor
S12000008,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.1,All,All,All,All,Families,Fuel Poor
S12000049,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28.8,All,All,All,Social Rented,All,Fuel Poor
S12000038,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.7,All,All,All,All,Older,Fuel Poor
S12000038,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.4,All,All,All,All,Other,Fuel Poor
S12000036,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28.3,All,All,All,Social Rented,All,Fuel Poor
S92000003,2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,30.5,All,All,All,Private Rented,All,Fuel Poor
S92000003,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,33.9,All,All,All,Private Rented,All,Fuel Poor
S12000047,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,33.9,All,Flats,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,21.6,All,All,All,All,All,Fuel Poor
S12000013,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,34,All,All,All,All,All,Fuel Poor
S12000021,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.2,All,All,All,All,All,Fuel Poor
S92000003,2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,33.4,All,All,All,Social Rented,All,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.7,All,Houses,All,All,All,Fuel Poor
S12000038,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,10.9,All,All,All,All,Families,Fuel Poor
S12000039,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,28.1,All,All,All,Social Rented,All,Fuel Poor
S12000027,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.2,All,All,All,Owner Occupied,All,Fuel Poor
S12000048,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.7,All,All,All,All,Families,Fuel Poor
S12000013,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,33.1,All,Houses,All,All,All,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.2,All,All,All,All,Other,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,4.1,All,All,All,All,Families,Fuel Poor
S12000042,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,30.2,All,All,All,All,All,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,8.9,All,All,All,Owner Occupied,All,Fuel Poor
S12000027,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.4,All,All,All,All,Families,Fuel Poor
S12000028,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.2,All,Houses,All,All,All,Fuel Poor
S12000045,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.4,All,Flats,All,All,All,Fuel Poor
S12000042,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,39.8,All,Flats,All,All,All,Fuel Poor
S12000023,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.5,All,All,All,All,Families,Fuel Poor
S12000006,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.6,All,All,All,Social Rented,All,Fuel Poor
S12000010,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22,All,All,All,All,All,Fuel Poor
S12000033,2014-2016,Percent,Percent of households in fuel poverty,21.8,All,Flats,All,All,All,Fuel Poor
